Tweet,Class
انت كلب لكن دامك رخيص ماهي مشكلة نعطيك لقمة العيش ولا أوصيك ياالرخيص عليك ف قطر سبها لأنك منت فالح ف غير السب   ,abusive
كول هوا بترتاح,abusive
نبيه بري واحد كذاب لعوب ماسوني عّم يلعب فينا منذ ان سلمناه فكرتها انسان شريف بلنهاية طلع ماسوني عميل و…,abusive
وانت شو دخل هلق معلمك جبران باسيل هوي لي بيحكي عنا او نسيت وهاب شو حكي عنك فكر فيها,normal
صدقت وضعت يدك على الجرح ,normal
هذا ما يتداول بأنه أحدكم و عن الشهيد محمد نطالبكم بالتوضيح او التلفيق او أتحفونا بأكلة سمك,normal
ههههههه داعشي طنط كول هوا ولاك حريمه,hate
ما حدا يهاجم الصحابي الجليل جبران باسيل سلام الله عليه,normal
سماحتو شيخ العقل ياحماررر ,abusive
لاء يا رفيقة هيدا من هو الطبّات يلي بيلزقو عالحيط ,normal
ليست المشكلة فقط في أن يعلّم الأمركيين والبريطانيين كيف يديرون ا ,normal
خواجة مادورو عند أصول لبنانية أكيد ملزّق على الكرسي مهما كان الثمن واذا انسأل ليش في فقر وتعتير عندو…,normal
ولو يا د فياض ما تترك حقدك على جبران باسيل يضيع موضوعيتك  ,abusive
كله بيشبه كله مين بدو يحاكم مين ما في الا؟سلطة الشعب ,normal
بتحس مذيعات عم تنتقم بس تذيع النشرة سمّ و تسمسم خاصة بس تقول جبران باسيل,normal
وما زال الخرا ينهمر من ابو فلتر حتى استحت منه المراحيض العامة والمجارير,abusive
هؤلاء الخبثاء والخنازير أينما حلو يحل بارضهم الخراب     ,hate
شاغل الفاسدين والعاهرين ملك يا جبران باسيل العدرا تحميك ❤  ,abusive
الله يسامح الربط الحمار وفلتك ,abusive
سكربينة عنصرية حقها فرنك فوتي حسابها و شوفي؛بس خدي حب حموضة و مراجعة قبل ما تدخلي,abusive
هذا أحد أهم عوامل الدمار الداخلي للبلداننا ,normal
لو بس تغريدة وحدة لصالح لبنان او للمنفعة بدل الثرثرة والنسنسة لن يضرك الاهتمام بالوضع الداخلي ولكنك ا… ,normal
شغلتك و مشغلتك بوق ,normal
الحرمة بتضل حرمة,hate
الله يلعن شرفك يا سعدان الجاهلية يا صرماية عتيقة العقاب لوهاب وهاب قاتل ابو دياب ,abusive
اودع مليار عشان حزب الشيطان بلبنان يمر بمرحله صعبة بعد ما توقف الدعم الايران اثر الحصار عليها,hate
شو توقيت غير مناسب القصة كلها هبل نسوان ولا رجال ولا قرود عايشين سوا شو تعمل قرية للنسوان لحالهن,hate
هلق انت مين داس ع دنبك,abusive
وشكرا إلكم معاليك بتضوي عالإشيا الحلوة بالبلد وبتعطينا أمل ببكرا ,normal
والله ثم والله لايوجد لدبي مثيل في العالم الله يحفظ بوراشد ويديم عزه آمين ,normal
معالي وزير التخبيص الخارجي,normal
عشت معالي الوزير ,normal
رد السعوديين ع كندا بيخري إنتي حمارة ولا بتستحمري,abusive
انت يا جبران باسيل بعقليتك الفجة النتنة تقولربماوربما تفيد الشكك والتردد,abusive
اذا جبران باسيل فاسد,normal
كول هوا عقبالك لما تجيك صرمايي بخلقتك,abusive
انفخ افاك يا حمار يا ابن الحمار,abusive
مشكلتك مع يلي ما بيرشيك اما الفاسدين من جماعتك فما بتسترجي تجيب سيرتهن ,normal
طالع حزب الله وكلابكون من سوريا وبكرا منرجع       ,abusive
يا مشحرة شو منوب انتي كيف بتضهري لبرا ولك فوتي عن البرندا احسن ما يراشقوكي تعون السترات الصفر بالبيض,abusive
اخ الحمدالله خسروا الكلاب  هلا فيني موت بسلام,hate
"لا تحية ولا سلام لميشال عون على دوره ومساهمته بشق وحدة الصف الدرزي، ونقول له ولأمثاله نحن بالمرصاد لكل… ",normal
الوزير جبران باسيل ردا على سؤال إن كانت التوترات على الحدود الجنوبية للبنان مع إسرائيل تبقيه مستيقظا في الليل قال…,normal
اسود منك ومن كلامك وقلبك وشكلك ما شفت لا تحكي عن القتل يا صاحب الوجه البشع وبشارك قتل الملايين من الشعب… ,abusive
متل واحد طايف القبو تبعه وجايين جيرانه يشفطوا المي حتى ما تطوف بيوتهم ويجي واحد يصرخ لك يا حمار هدول ما عم يشفطوا لسواد عيونك,normal
وين مصريات المستشفى يا طبل فينا نعرف حنجيبك ,abusive
اخي الحاج اذا شعرت انك محرجا من الانتقادات لتصريح جبران باسيل لا داعي لأن تهاجم المنتقدين,normal
تيار الفتنه والكذب والتحريض  تيار المستهبل,hate
أنت متجرّد من الإنسانية تماماً,normal
يا استاذ وئام معك حق لازم ينسجن مع الحريري و كل القرطة شي مرة فشلي خلقي و حكي عن فساد حركة امل كرمال تقنعني ,normal
يا الهي ع الهبل طب ما قبل الكنعانيين كان في الحثيين والعموريين الخ الخ,normal
عرفتك انت الجرثومةيلي قد ما نكب عليها ديتول لا يقضي عليها  تضحك بلا سنان ,abusive
يلعن هل الشعب شو اهبل,hate
مهما تستأجر أشخاص وملاحم ولحمه فاسده لا شرعيه لها ولا وجود ولا اعتبار رسمي الف تحيه لشيخ العقل للطائفه… ,normal
الدنيا مقامات ومقام المختاره خط احمر ما بننسا تضحيات الاشتراكي وما ببنسا ال جنبلاط,normal
سكووت ولاك كلب خميني,abusive
ويقول انه ابو كل السنة في لبنان ,normal
مش بس وزير الأوقاف من زمان موقف السعودية ضد الربيع العربي من أول ظهور لها وقد عانينا من شيوخ الأخونج داخلياً وخارجياً ,normal
لعمى بقلبك شو بتنبح ,abusive
انت عم تحكي من منطلق طائفي ويلي ما بشرفك شوف سيد المقاومة شو بعت رسالة للشيخ سعد مسؤول رفيع في حزب الله نقل للحريري رسالة من نصرالله «معك ظالماً أو مظلوماً»,normal
يجب على القضاء محاكمة لصوص المال العام ومغتصبي الاملاك العامة ,normal
لك يخربيتك ما ابيخك لتكون مفكر حالك بتفيد الطايفة لما بتقسموها اذا كنتوا انت والشحاد زلم بتدعوا لانتخا… ,abusive
هوي قتلن وشردن او دخول داعش والرعب لصار هوي لشردن ,normal
عوّي بعد عوّي ,abusive
وهلق شو بدي اسأل النائب ابراهيم كنعان بيقدر يفتح موضوع المليار يلي أخدن السنيورة وال مليار يلي أخدن جبران باسيل ؟,normal
كلنا معك ويكون عمرك طويل ,normal
لأنه كلاب عالم متل طارق خوري وغيره,abusive
كل العرب يتقنون التخريب العرب جرب ,hate
متقل بالسهرةهيئتوو خفف عق عرق يا زلمة ما بيسوى هالقد ,normal
"و الله يا رفيقة طلعلي حب شباب على حبالي الصوتية و انا عم قلهم بس فالج،شعب تنح لا ينخبز و لا ينعجن",hate
جبران باسيل وعمه جنرال اسرائيل سابقاً العماد ميشال عون يمثلون سياسة الزباله التي قدمها سيدهم نصراللات لهم على طبقاً من الخياسة,hate
عنا جواسيس للتوزير,normal
صحيح بس جبران باسيل بشكل خطورة أكتر من عمو,normal
رح تظل ايران شوكة بعينك يا صبي ,normal
اذا شي ولا حدا منهن بس بعتقد جبران باسيل أكتر واحد مؤهل فيهن,normal
ما بعرف كيف بدي خبركن ياها بس غير إنو واطي طلع عرص,abusive
شو بتلبقلك كلمة خنزير بتجي مفصله على قياسك وشكلك    ,abusive
جوليت چوليت يا بني ادم برأس بهيمة,abusive
يا زلمي انت عندك مشكلة لازم تحلها او انو الانكليزي صعب عليك,normal
يحق للرفيقة ندوووون ما لا يحق لغيرها,normal
يا زلمة كمية القرف باخبار جبهة الخرا وفتح الشوئسمو ما بيقرفوا ما حسو حالهم اديش حمير ومتخلفين ومن القرون الوسطي وانو خربو عحالهم وعغيرهم,hate
هل لنا برجل كهذا,normal
وليه روح عملك شي شغلي تفيدك احسن ما تجن بتحليلك لحديث السيد كبير عليك.آه يا هبيلة,abusive
سمعتوا منيح سماحة السيد شو قال عن فخامة الرئيس وعن الوزير جبران باسيل بعتقد لا كلام بعد كلام السيد,normal
يا كلب انت كلب مجوسي لا تحكي عن الإنسانيه,abusive
جبران باسيل قبل وبعد  ,normal
وهيدي صورة للحبايب يللي جالطينك صبح وظهر ومسا ,normal
شوفتك مبسوط ب الكلام عن العماد عثمان والحريري وغيرن متل شي ولد صغير حاطت عينو ب صندوق الفرجه وما عم يت… ,normal
الوزير باسيل غياب سوريا خسارة علينا,normal
العاهره متلك بتدعي العفه والحرامي بيحلف بالبراءه ,abusive
اذا قصدك جبران باسيل أصبحت احبه بعد تقييم السيد حسن له,normal
جبران باسيل ديكور لبناني والمحركات إيراني,normal
فتاوي القتل والتخريب لن تنال من العظماء ,normal
فخامة الرئيس ملقّط بالوزير جبران باسيل بسبب نشاطه وجهوده وذكائه بس مش عارفة دولة الرئيس بري على شو ملقّط بوزير المالية,normal
يا صديقي يصطفلوا الكلام الموزون منزقفلو وعلى العهد باقون أوفياء ,normal
أنا مش إخوان بس لزج زيهم,hate
من أفاتارك يلي شكله مكسور هو أنفك,normal
عليك التأكيد بعدم وجود ترخيص وأين ابناء المنطقة مع الاسف بالنبطية حجة كرمال خيمة قرميد سجنوها ,normal
دويلة ؟ ودويلة معلمك ,normal
ولك أنت سقفك زغرتا فهام بقا إذا بتدعس برا زغرتا ببزقوا عليك العالم وما بتسمع غير كلمة يا خاين,abusive
طالما امثالك واصدقائك بالطبقة الفاشلة موجودين بالسياسة ايه اكيد الدولة على المحك وكي لا ننسى ونظلم حدا ,normal
خراس و ما تشوش ✋ ,abusive
الزعامة والتجربة بدن يكونوا اصحابها رجال مش صيصان خسئت يا جبران باسيل,abusive
انت كلب واطي بل أخلاق مجرم توأم بشار ألأسد كلب منحط غير درزي شركسي أرحل قبل أن نرحلك الي جهنم يا وليد حزا,hate
روقنا هلأ يفكروا الناس نزلنا عليهن بعصايات وهراوات جلدناهن سلمياً,normal
أصابني الشك انه من عائلة الأسد وتبناه لبناني,normal
بدك تسألي معلمك كيف نهب الدولة ومرافقها ومرافئها وكيف نهب الناس ودفّعهن خوات اسأليه عن احواض المرفأ,normal
وانتي كمان خرسي   ,abusive
يا بهيم الشاعر عم يحكي عن سوريا الارض مش عن نظام سفاح قاتل ونقطه ع السطر ,abusive
يزلمه موهاديلي طلع على الضيعه لعندك ومجهذ بجيش لعتقالك ,normal
ياعيب الشوم على قلة الحياء ,normal
شامل روكز و من بعده جبران باسيل,normal
والله والله أول تغريدة إلك من دون جبران باسيل ,normal
"كمان خطر عبالي سؤال لحضرتك، وين صارت صرمايتك ؟ قصدي المحكمة الدولية ",abusive
يا أستاذ وئام اذا البحر بيحلى بيبطل في فساد بل البلد هلاء انتى مصدق لح ليكافحوا الفساد,normal
انت عم تحكي عين الحق ,normal
كرمال هيك عم بدق ل جبران باسيل يقلو ما خصني شو بيحكي,normal
من مقابلة جبران باسيل مع سي إن إن أمن إسرائيل هو حق,normal
ادام الله ضحكتك,normal
لا مع الحق ولا مع الباطل لا ذكر ولا أنثى لا بطاطا ولا باذنجان,normal
هذه الترجمة كاملة للمقطع تاني مرة تعلمي اصول المهنة والتحقق,normal
اكيد وطني وابن شهيد استشهد ضد العدو الاسرائيلي ع مثلث خلدة وبين ما رجعت بركي بعمل فحص دم بل الوطنية وب مستشفى الشهيد رفيق الحريري,normal
هل تعلم أن جبران باسيل لا يوافقق الرأي عن وجود إسرائيل,normal
انتو يا جماعة اوسكار ما خصكم بعلاقة جبران باسيل فينا,normal
قطر لديها جهاز دعائي جيد فهي تطلق الاخبار المزيفه عن مساعدات وتمويل للبنان حتى جبران باسيل صدّقها قط…,normal
هذا يستهبل و لا اهبل من جد,abusive
قنبلة ذزية يروحو فيها الاثنين معا افضل حل ,abusive
العما بِقلبك ما أتقل دمّك و ما أسقلك ,abusive
مثلها مثل التعديات يلي موجودي على نهر الجاهلية صح اللا لا,normal
يلعن الأسد,abusive
منطلب من الجميع عدم التدخل بما فيهم انت لانك اكثر من ضلل القضاء ساعة عم تغسل ساعة عم تفتح طريق و ساعة ح… ,normal
كفو والله هكذا هم العرب هكذا هم الدروز هكذا هم الشرفاء قطر كل أبواب العرب مغلقه ,normal
احلى ديما الله يبسطك,normal
وانت يا ويئام انا الي عملتك ووصلتك على سوريا انت تخطيت حدودك تدخلت وقسمت المشايخ تاج راسك والى خلفوك  ,normal
لو في دولة بتحترم نفسها كنت انت اوّل واحد بالسجن يا عميل يا قاتل يا مفتن يا خاين يا ماريونيت ,abusive
لا يوجد مشكله مع دمشق لكن المشكله مع النظام الحاكم في دمشق لا يمكن اختصار سوريا بنظام او بشخص بشار الاسد ,normal
يابنت لجنوب ما انت اول وحدة مع اسرائيل وضد المقاومة ما فهمتك مفصومة من ايمتى هل شرف والوطنية لدبو عليكي فجاة ما شفت احقر منك,abusive
جبران باسيل من حق اسرائيل ان تعيش بسلام بين جيرانها وبالامس من حق اسرائيل ان تضمن امنها,normal
اكبر راس ببلدك دسنا راسو جاي انت يا ضيعجي تكبر راس,hate
فيصل الجحش انت درزي كلب وبدك تحكي بالدين الإسلامي لك فشرت يا فيصل الجحش أن تتكلم بأسم الدين الإسلامي,hate
كول هوا صرماية السيد تاج على راسك ورأس رؤساء العرب الانذال المتخاذلين ولك لولا السيد انت كنت,abusive
الجولان معن يا أرنب,normal
الإمبريالية والصهيونية و الإقطاع إلخ نسمعه منذ سنين والمحاربون والممتنعون نفسهم زادت سلطتهم وأموالهم وزاد فقرنا,normal
لو دولة تحترم نفسها كنت انت ما عم تحكي ولا عم تزت سمك ولا عم تبعت رسايل لو ولة بتحترم نفسها كنت محبوس… ,normal
إعلام القمة العربية التنموية يعلن أن اقتراحا لبنانيا مهما سيقر في شأن أزمة النازحين واللاجئين سيذيعه وزير الخارجية جبران باسيل,normal
راجع حساباتك دكتور علي مع هذا المنافق؟ ,normal
مين قلك ما نأسر بيي ومين قلك ما تفجر بيتي؟ ومين قلك انه عم باخد رأيك بالأساس؟؟ كول هوا وقحط من صفحتي وبدل ما تتكامخ,abusive
وعدت فصدقت قلت وفعلت انت لست زعيما وحسب انت تملكت ضمائرنا وقلوبنا وعقولنا ادامك الله سندا وأبا وأخا  ,normal
رح يضل جبران باسيل كابوسكن يا مياومو الإعلام ورح يبني دولة الحقيقة وتفوتوا عالسجن,normal
لا تقلد كلامي يا غبي ,abusive
يلعن روحك يا حافظ,abusive
يا عيبو عليكي يا إيران عم تحوي إرهابيين تعلمي من السعودية درسيهم عندك وبعتيهم لبرا,hate
يلعن هل صباح ما اقرفك  ,abusive
القمة العربية الاقتصادية والتنموية والاجتماعية في لبنان و مؤتمر صحفي لوزير الخارجية جبران باسيل,normal
حدا قلك من قبل كول هوا اذا لا ف انا اول واحد يقلك كل هوا,abusive
سليمان فرنجية عبارة عن كلب مسعور لديه حاسة شم قوية جداً شم ريحة كرسي الرئاسة ولكنه لن يجلس عليها ابداً وتصبحو على خير,abusive
لهيك لازم نغير هالنظام المعفن ونستبدله بنظام مواطنة ويتساوى الجميع امام القانون ,normal
صحيح ما في اي شك بس الدروز كلاب و خونة,hate
عمرو أديب يمسح بالطفل المعجزة جبران باسيل الأرض ويخلي الي مايشتري يتفرج,abusive
ما حدا غيرك أمير الإرهاب والمجرم السفاح طز بهيك بلد خلف امتالك يا حمار ,hate
روائع التسديد بنص وجه الخنزير ,abusive
انت بتضب لسانك احسن ما ما نقبعو من شلوشو يا شليش طز فيك و بشار قاتل الاطفال,abusive
ونحنا كمان جبران باسيل فتح لتدريب كل الشباب اللبناني على الشغل بالخدمات النفطية لانو عمال لبنانيين هيك القوان ,normal
إن الخوازيق قد تكالبت علينا,normal
بجد كلامك صحيح وانت اول الكلاب طبعا و الكلاب كثرت في هذا الزمن اكيد      ,abusive
خلص كول هوا العمى بقلبك شو حاقد و وسخ الله يحشرك مع يزيد اللي علمك هالحقد,abusive
"انو الواحد بيحكيك بل الشرق بترد بل الغرب ، هيدا شعار انتخابي يا روح امك بيحمي لبنان الرئيس القوي وجيشو الوطني لي ولائو للبنان بس",normal
ليس سرا موقف وزير خارجية لبنان باسيل جبران المؤيد للنظام السوري المجرم ولكن العجيب هو موقف بعض العرب المتعاطف,normal
يللي عم قوله هو نوع من التهكّم يا بهلة بس شو بدّي أعمل اذا راسك محدود؟,abusive
صدقتي ديما لكن للاسف اللبنانيين من اكثر تخلفا وعنصريه,hate
من فترة كنت عم تحيي اللواء عثمان لأنو ما قبل تدخل وليد بيك حسب زعمك وقلت بدنا هيك ضباط اكفاء بس الهيقة,normal
جبران باسيل يؤكد جرأته مرة اخرى بحديثه في المؤتمر الصحفي مع ابو الغيط عن تأثير الدول الغربية على قرار القُمة السابقة ب…,normal
أمير قطر يأتي بأوامر أمريكية لمهمة محددة وهي تحويل المؤتمر منصة ضد سورية والتحريض على رئيسها و منع…,normal
لبنانى مشرد اى بلد يدخله للبنانى ينشر فيه الفساد والرشوة,hate
لا بس في فرق بين ولد يهودي مات جريمة ومشفى انقصف ومات فيه خمسين زلمة جريمة حرب في فرق بين تعفيش عفرين أكل خرى وبراميل متفجرة وكيماوي جرائم حرب ضد الإنسانية,abusive
من زين ملفّك عاد لا تختلف عنه إلا بالصفة فقط فهو اأمير وأنت مرتزق وكلاكما كشهاب الدين وأخيه … ,abusive
ويبقى جبران باسيل كابوس السياسيين والإعلاميين,normal
"كلماتك ما بطًمن، الله يحمي اللواء عثمان و يرحم وسام الحسن القتله بعدن خارج السجن ",normal
بعدان مينك انت يا نكرة بدون اسم وصورة لما يصير عندك اسم منبقى منحكي روح انقبر,abusive
الإرهابي هو بشار الأسد و كل مؤيديه و داعميه قتلة الأطفال و معذبي الأطفال في سجون النظام السوري الإرهابي  ,normal
العما طلعوا الشباب لا بيعرفوا فرنساوي و لا بيعرفوا أنكليزي,normal
اكيد الخدم بيوقفوا برا من شان هيك ما شفنا حدا من جماعتك,abusive
عشانك حمارة,abusive
كول هوا ولاك درزي الكلب,hate
هههه قصدك من مصلحة الى مصلحة ,normal
دخلك إنت بتعرف معلمك بأي مجرور من مجارير الضاحية مخبى ف خراس,abusive
يستاهل الدعس ,normal
مينك انت شو تاريخك شو ماضيك شو أصلك شو فصلك اللي بيشغلوك بيستحوا فيك مين انت يا صغير يا بلا تهذيب يا ,normal
ردود عنيفة على وهاب إثر تعليقه على زيارة أمير قطر ,normal
و انت يا وديع خليك ساكت احسن ما تاكل نصيبك نحن ما حدا بسكتنا و الي بيغلط مندعسو,abusive
انت بتجيب لايكات وريتويتات بالحكي عال حركة متعود يعني اخدت ايدك,normal
مو مشكلة رفيق رفع الروح المعنوية و حشد الطاقات فرض عين على كل مواطن,normal
المصيبة ان هذا الشخص بعثي بمذاق اخواني قطري يخرب بيتك يا عفلق على الاشكال الي تركتها,abusive
الشعب اللبناني عندو اهضم زلمي جبران باسيل و لو انو جاي من المريخ بس مهضوم ما هيك يا جماعة,normal
خائن وعميل في بلدي روح فوت بطيزه لبشار وريحنا منك ,abusive
وطن بحجم وخصوصية لبنان من المستحيل أن نحمله مسؤولية سلامة وتحرير وخصوبة ووحدة أمة بكاملها بينما سواه… ,normal
شو السر كل ما يعمل جبران باسيل مقابلة مع محطة أجنبية يعطي الحق لاسرائيل بالوجود,normal
وانت صغير يا فتنجي ,abusive
أووووووف السيد حسن يثبت صدق علاقته مع جبران باسيل بويكيليكس يلي خاطبوا أميركا بالعلن وبالسر خطاب آخر,normal
بعد ناقص وحد كلب متلك ينقر عا حزب لله لو عندك ضرة كرامي وشرف كنت اليوم من الشهداء بس ماجور متلك مصيرو اخر شي موتة كلاب,abusive
"بنقول يلعن روحك يا بشار بتطلع لنا عاهات بتقول لك ادعو لولي الأمر ولا تكن فحّاشا، أي يلعن روحك يا بشار على روح أبوك على…",abusive
هلق جبران باسيل رجع ع سوريا بس خلصت القمة الاقتصادية العربية؟,normal
وهاب الإستفراد بالتعيينات ومرحلة إلغائنا إنتهيا ,normal
في هذا العصر قلة من الرجال التي تنطق بلحقيقة الله يحفظك ,normal
بتحبو او بتكرهو انشط وزير و رئيس تيار و ديبلوماسيتو بتتدرّس  ,normal
يعني يا انت أهبل يا مصدق حالك,abusive
كذاب ومنافق الريال القطري القذر وصل لحسابك    ,abusive
عساه الوجع الذي ما يهجع أن شاء الله ,normal
هذه الشام شامة الدنيا عاصمتنا بكل فخر    ,normal
قللو يا حمار انا أصلا ما بتفرج ع يا حمار معبى ببنطلون,abusive
كلنا معك جبران باسيل,normal
كل الصواريخ وماصار عنا شي اعرف ياحمار الله معنا انتو مين معكن كلاب السعودية سلمان لبغل لي باع شرفوا انصحك بدراسة التاريخ,hate
انت حمار باللغة العربية ,abusive
بيسي بيسي ناو قومي خراس بقا,abusive
عن جد وقح,abusive
قدح وجم تفه عليك وعلى برنامجك وعلى المحطة لي عم تعرضلك,abusive
كول خراااااا ,abusive
ما رح يخليلنا صاحب جبران باسيل,normal
و مصلحة لبنان تبدأ باستخراج النفط و الغاز لوقف الشحادة و هذه نقطة ضعف لبنان ليبقى رهن سياسات اقليمية و… ,normal
عسلامتك و سلامتون هي اصلا مش رايحة الا بس عالمعترين ,normal
نحن أبناء الإمام المغيب السيد موسى الصدر لا نقبل ولا نسمح أن يبقى وزير الخارجية اللبنانية جبران باسيل بإطلاق شعارات انه من ح…,normal
بالمباشر يتابع القمة الاقتصادية ما قبلها وما بعدها,normal
قويه ياكبير ,normal
بتقعد معي بالكافيه نص ساعة إيد عالأرغيلة وإيد عالوتساب وبتقلي ليش ساكت؟ 😎 ,normal
"روح انتحر كب حالك بالبحر اطهر ارض و انجس قوم
",hate
وللأسف فنهاد المشنوق واحد ممن يحكمون على اساس انه مسؤول يمثل طائفته لا وطنه فيدافع عن المرتكب والجاني و… ,normal
وهذا ردا على شِعرك وشَعرك يا اصلع وزارع الشعر المستعار  ,abusive
اختي الكريمة غير واضح اذا انت امرأة أو حمارة,abusive
هيدا الجيش الاكتروني ضد وهاب شو قصته القافلة تمشي ووو تنبح مع اني ما بحب وهاب بس هيدا الجيش الاكتروني خلني اكتب هذا الكلام ,normal
مش معقول شو بيشبهك هالبوست ,normal
سكتي وليك شرنة هاد جوزي بدنا نضل بسوريا ونطهرا من الجراثيم,abusive
عنجد اول شي بدي هني اذاعه الجديد لانها اول شي بتهتم بالزعران وبتسوق اخبارهم لك مين هيدا  ,normal
ضب زعرانك حسون لقدهرمت زت حالك ف شيئ نفق ياكزااااااااب,abusive
مسلسل مكسيكي كرمال نائب لبناني تتأكد اذا الزبالة مغروزة او الا الله يعطيها العافية,normal
عندما يبدع اللبناني في مصلحته التجارية سيارة نقل الموتى هذه تضمن وتكفل لك الجنة   … ,normal
ما الغريب الا الشيطان معقول بتستخفوا بعقول مناصرينكن بانه شيخ عقل حطوا عقل الرحمن براسكن وما الكن ال… ,normal
"انعل أبوكم لا ابو جيش اسرائيل ، كلاب كلكم",hate
يتوجه وزير الخارجية والمغتربين في حكومة تصريف الاعمال جبران باسيل الى سويسرا للمشاركة في منتدى دافوس الاقتصادي,normal
"قصدو الاوباش لي بيشبهو رجا الزهيري ولي ع شاكلتو ، إذا بعد ما عمل نائب معو مسلحين بيفتحو جبهة وسكروا الطريق لينزل حضرتو واطلقوا النار ع العالم فكيف ليعمل نائب ، وإذا عم تحكي من منطلق طائفي بدعي كل سني وبش حسب تعبيرك ما يصوت لمعاليك بقضاء الشو",hate
متقلة طعمية وفول المدام ما فيا تنحني,normal
وئام وهاب الطائفي سبق ووصف المرأة السعودية بشوال الفحم للأسف الإمارات لم… ,hate
عاجل شرموط مجرم حرب يزور شرموط مجرم حرب تاني متله,abusive
كول هوا وكفنا شرك احسن منفرجيك بشروط مين منمشي لبنان وعملا اسرائيل لمتلك,abusive
عندما يصبح القضاء مستقلا ولم يتبع من خلال سياسي لتعيينه في الجسم القضائي ممكن أن نتخلص من  ,normal
بيلبقلنا رياضة وصرماية اجلكُن,normal
عدالة الله اقوى والله على الظالم ,normal
صه يا طبل حنجيبك ,abusive
"هاد عامل متل القرعة اللي بتتباهى بشعر اختها، بكون هو فاشل بكلشي بس بيفتخر بإنجازات غيره من شيف وستايلست الخ",normal
الرئيس ميشال عون الرئيس العربي الأصيل,normal
"فعلاً لا يناسب الا زماننا، في زمان على فيه صوت الرويبضة، لكن عندما تحين الساعة سيعود كل الى حجمه ولو كا… ",normal
سكر نيعك يا حقير يا عميل رخيص يا طبل ,abusive
اولا انت مش عزيزي,normal
قبل ما تحكي هالحكي شوفو الشعب اللبناني يلي عم بيموت قدام المستشفيات ويلي مش قادرين ندفع لنعيش ولا ناكل… ,normal
طيب بس عقدتك جبران باسيل مش هوي المسؤول عن تنظيم القمة في منظمين للقمة   ,normal
معالي الوزير نحتاج الى فكر سياسي جديد ,normal
وهاب أقترح عرض العماد عثمان على طبيب نفسي ,normal
لطالما كانت أحذية الشرفاء الأحرار خير من تراسانات حكومات العرب والمسلمين الخانعة الذليلة عشت ياابن أمي الأصيل حرا أبيا ,normal
