Comment,Majority_Label
@User.IDX السيسي يعاني من مرض عضال نادر يشوش على مجاله المغناطيسي العصبي وقت ما يمسك المايكرفون فبيعمل لطشة كهربائية بتفرتك ام الدماغ فبتصير حجات غريبة مع انهيار في الاواصل والمواصل والعلاقات المرتبطة وفي النهاية بتلاقي كلام مبعثر وافكار داهية ملهاش تفسير,Offensive
@User.IDX كذب ودجال هو ضامن أدلب وحماه والآن تحرق ,Offensive
@User.IDX جميع من قام بالقصة غير سعوديون وذلك لإثارة ضجة بين المراهقات الضعيفات والخائنات امثال لجين بعد أن درست على حساب الدولة في بداية قصتها وبعد ان تعلمت تكبرت على تلك اليد التي مدت لها المقطع مثير للشفقة ويوضح كمية الحسد من الفتاة السعودية المرفهه و ,Non-Offensive
@User.IDX احسن قرار والله عقبال الدول الباقيه ياااارب ,Non-Offensive
بدهم عملو اسرائيل مثل اميركا عاصمتها واشنطن بس لمركز فيها نيويورك يعني اسرائيل عاصمتها القدس ولكن مركزها تل ابيب ;) ,Non-Offensive
"""اول مرة بعطيك (اغضبني) ولو في (ازعجني) او (لم يعجبني) كنت عطيتك اياه ... استاذ نيكولاس انت مش مسلم فلا تعمل حالك فهمان بالدين الاسلامي وتشريعه... خليك بالشي اللي بتفهمه وواضح .. ولا تغوص بالاسلام بنوايا سيئة لإنك راح تخبص وتضيع وما راح يطلع معك شي.. طبعا لو غصت بنوايا حسنة كنت """"اسلمت""""!... ما علينا.. انتقادك لتغريدة الشيخ بموضوع ان الاقصى بالاخير (حجارة) !! الشيخ متضامن مع الاقصى ولا يفهم قصده الا المسلم الفهمان دينه .. إذا كنت بدك تنصر الاقصى انصره لله لدينك اولا .. ولا يكون همك مسمى وصورة المسجد الاقصى مشان تكون اقوى بالدفاع عنه ونصرته .. وهذا نوع من تذكير المسلم انه موضوع الاقصى موضوع ديني يخص دينك اللي هو قيمتك بالحياة قبل ما يكون علم لمكان ... ماشي .. واستهزاءك بخطب الجمعة كمان (مزودها) شوي ... وآخر شي نسيان او """"تنسايت"""" كتير قضايا مهمة اهم من بعض الشغلات التوافه اللي ما بتذكرنا غير بالعلمانية والليبرالية الرخيصة كتضامنك مع البنت اللي طالعة بكل وقاحة ومصورة حالها وبالسعودية بلد الستر وتقلي حرية شخصية !! وهاد الفهمان صاحبك أحمد الخالدي (المبدع غالبا) بلاش يطلعلي بهالمنظر المفجع اللي ماله داعي ابدا وجيبوا فكرة احسن منها ... تقبل مروري واحترامي..... """,Non-Offensive
@User.IDX عين الحسود فيها عود اللهم زد وبارك ,Non-Offensive
مع هالابتسامة مريانا مو رح تهزم مرضها بس .. لاء .. هي جاهزة تهزم أي شي بيوقف بطريقها .. قريباً إن شاء الله منسمع كمالة القصة أنو مريانا عم تمشي بطريقها لتصير شي كبير بهالدنيا 👏🏻 ,Non-Offensive
ليش يا عمر ما اتكلمت عن زيارة ترامب !!!؟ ... هااااا .. ليش الموضوع ذا بالضبط سويت له سكيب!! ,Non-Offensive
"مش اسمها تحدي الجاذبية هو بستخدم تقنيات وقوانين فيزيائية, بستعمل نقطة الارتكاز بالاجسام ليقدر يوقفها ... كل الاحترام وبالنجاح الوو ❤️ ",Non-Offensive
هو ردة فعله حلوة بس هيك حفلات اللا ما يصير فيها هيك شغلات وما بتخيل انها مكان مناسب للبنات اللا اذا معها حدا يقظر يدافع عنها ويضل مصحصح طول الليلة ,Non-Offensive
"يمكن قصده شي ثاني وخانه التعبير نتمنى التوضيح وشرح سبب قوله هذا الكلام ، يمكن يشوف شي مانشوفه او عنده معلومات سرية مانعرفها ",Non-Offensive
@User.IDX لا بد وان تطالهن الصواريخ اليمنية طالما وتستخدمها الامارات في حربها على اليمن وذالك بتخزين الاسلحة والذخاير وتزويد السفن والبوارج الحربية وكذالك التدريب والتأهيل للمرتزقة من اليمن ودول اخرى ,Non-Offensive
إلى يدعم فلسطين لايك 👪👪😉😉 ,Non-Offensive
رسالة من مواطن سوري الي العرب اعذروني فأنتم لستم اخوتنا فالأخ لايترك اخاه يموت امام عيناه ولا يفعل شيئاً ست سنوات والشعب السوري يقتل بحجة الارهاب والعمالة الاف الاطفال قتلو بقصف الطيران ولا احد من شعوب العرب يتكلم. وصل عدد شهداء سوريا الي 500 الف شهيد ولم يحرك اي ساكن بضمير الشعوب العربية كل دول الغرب واليهود والصليب فتحت ملاجئ للسورين اما (الاخوة) العرب فقد اغلقوها ماعدا بعض الدول مع معاملة ذل واهانة لم نسمع يوما بأن مظاهرة في دولة ما خرجت لنصرة الشعب السوري وااا اسفاه ياعرب ماذا اصابكم ,Non-Offensive
"@User.IDX لا أعتقد بأي من هاته الأسباب،أحس أن أمريكا وحلفاؤها يريدون تأكيدا لجواب تطرحه روسيا و عدد من دول الشرق عموما ألا وهو كيف لامريكا وضع الجيش الإيراني وحركة حماس وحزب الله وغيرهم...ضمن لائحة الارهابين بينما أول و أشهر تنظيم إسلامي يتم التغاضي عنه؟ ",Non-Offensive
@User.IDX صاروخ ما شاء الله تبارك الرحمن ,Non-Offensive
"مشكور وجزاك الله خير، انا مريت ب هالتجربه كان مسجد جديد كان يحتاج تنظيف و ترتيب والحمدلله انجزنا المطلوب وشكرا. 😊👍💛 ",Non-Offensive
@User.IDX عميلة للأتراك والإخوان الإسلام لايعترف بما يدعي خطوبة الإسلام يعترف بالزواج والإعلان وعلي ذلك لا يحق للحديث إلا لأبنأه وعلي ذلك بالمدعية لا صفة لها وما تدعيه والعدم سوأ إحنا عيشين في زمن البلطجة ,Offensive
فلسطين حرة أبية بإذن الله الله يحميها ياحق ,Non-Offensive
بصراحه بالنسبه لي وكثير بنات شيء صعب اننا نحذف مواقع التواصل بحكم اننا ناخذ آخر الاخبار والاحداث من ذي المواقع كثير بنات ماعندها إمكانيه تخرج من البيت يومياً او اسبوعياً فتكون معزوله عن العالم نافذتها للعالم هو احياناً يكون الجوال ,Non-Offensive
@User.IDX سبب الخبر الوارد في التغريده 😂👇🏼 <url> ,Non-Offensive
الله يرحمه ويسكانه فسيح جناته ويرحم جميع المسلمين ❤️ ,Non-Offensive
@User.IDX هاذا عشان الهلال حطو حوت ابو روج انتحر الحوت الأصلي كم انت شريف ياحوت🤣🤣 ,Non-Offensive
@User.IDX ولي العهد محمد بن سلمان ,Non-Offensive
@User.IDX قناة الجزيرة الفتنة اشد من القتل حسبي الله عليها من قناة الحمدلله جميع الشباب العربي اخذوا اللقاح ضد سمومها ,Offensive
برنامج ولا اروع ربي يخاليكم و يحفظكم واصلوا الف تحية من الجزائر ,Non-Offensive
يكفي الام حينما تصنع الاكل تصنعه حبا في من سيأكل منه ... لكن الزوجه في بدايتها أرى اغلبهم يصنعنه اما حرفيه واظهار مهاراتها او واجب ,Non-Offensive
الغلطة .. ٦٠ مليون مشاهدةفعلاً والله كلامك صحيح ١٠٠٪ لنو البعض وليس الغالب يدور الغلطات دي والدقس بقس ع قولك .. ,Non-Offensive
@User.IDX هم يعرفون ان ابوظبي والرياض سوف يقومون بمناصرة عجوزهم كمايقومون بتحطيم اليمن من اجل مناصرة عجوزناالمنتهي ,Offensive
@User.IDX الاسلام وضع الولاية للرجل رغم أنف #الجزيرة_قناة_الفتنة والفساد ورغم أنف الغرب الكافر. وأنتم يا #الجزيرة الكفر والفسق والفجور عمركم قصيرة باْذن الله القهار ,Offensive
"""علي أساس إن مايسمه بـ""""المنطقة العربية"""" لايوجد بها سكان أصليين وأقلييات؟؟؟!!! حتي تفرض عليهم اللغة العربية جبرآ وقصرآ !!! أين الأكراد والآرامييين والامازيغ والتبو والنوبيين و الولوف والهوسا والارمن والتركمان و...إلخ من حقوقهم اللغوية والثقافية ؟؟؟ سحقآ لكم ولعنصريتكم ... حسبنا الله ونعم الوكيل إليه المشتكي وإليه المصير ... """,Offensive
"في الحقيقة حتى اقتباس زيدزو منقوص ولم يرد فيه بالفعل أنه طلب عدم التصويت لها، لقد قال انا بعيد عن كل هذا ويجب البقاء بعيدا ",Non-Offensive
الشغل لا عيب ولا حرام وكل واحد عم يتفلسف ويعمل حالو شريف مكة خليه يسكت احسنلو ولله من ورا تعليقاتكن التافهة قرفتوا العالم دينهم ع اساس هالشغل حرام وانت ملاك ماعندك ذنوب بحياتك حبيب قلبي ,Non-Offensive
أخيرآ لقيت شبيهي رقم 9 قبلك 8 ههههههههه عمر حسين احلى تحية يا عزيزي مية وردة 3> ,Non-Offensive
@User.IDX اللهم اضرب الكافرين بالكافرين واخرجنا من بينهم سالمين غانمين يارب العالمين ,Non-Offensive
@User.IDX هذا خكري مايستاهل حتى الاستماع له !!! ,Offensive
اعتقد ان الصلاة بخشوع (تركيز) تحولك من الشتات الى القلبية ( ماذا يريد قلبك ؟ ) بعيدا عن ماديات الحياة ,Non-Offensive
"@User.IDX اي جمهور،،، مساء الحصار 🤣 ",Non-Offensive
@User.IDX قناة الخنزيره واعلام الدويله يبي يعطي دروس لمن هم يدرسونه ياضلاليه انتم بمساحة حي من احيائنا تبون تقولون انكم جبتو الذيب من ذيله البوم الثاني وخط الأنابيب شغال نحنو دوله عظمي فقاعات من تدعمونهم الأرهابيوون اتت عليهم بالويل والثبور والقادم اعظم خ,Offensive
ونتا ايش حشرك يا بو يمن ,Non-Offensive
"انا مصرى ، وبقول ان دا مبالغ فيه ✋🏻 ",Non-Offensive
@User.IDX المضحك ان العراق فيها داعش والحشد وووو... وقالك ببجي تحرض على العنف 😂😂😂 ,Non-Offensive
أقول أترك عنك السوالف تزوجني المزيونه 😂😂😂😂 ,Non-Offensive
@User.IDX الي مقاطعينكم طبيعي التهجم بسبب حليب الحمير الي تشربونه بدل المراعي الشبك مولم وضيق كان حلمك الشرقيه ياملاعين الوالدين ماعندكم الا خاشقجي صدعتو روسنا فيه ولا احد معبركم ,Offensive
مريم العذراء انجبت بدون ذكر ,Non-Offensive
لا عادي يكون داخل محتوى الفيديو اعلان دام الفديو حلو ماتفرق ,Non-Offensive
@User.IDX حلف البهائم وجواسيس الترك وجميع المرتزقه كلاب المال انبح بالدور <url> ,Offensive
@User.IDX لتصحيح جزائري هو الذي بدأ التحدي اسمه يونس دريسي ,Non-Offensive
يُثَبِّتُ اللَّهُ الَّذِينَ آمَنُوا بِالْقَوْلِ الثَّابِتِ فِي الْحَيَاةِ الدُّنْيَا وَفِي الْآخِرَةِ ۖ وَيُضِلُّ اللَّهُ الظَّالِمِينَ ۚ وَيَفْعَلُ اللَّهُ مَا يَشَاءُ (27) النفاق في أجمل صوره سبحان الله ,Non-Offensive
التقسير الذي ذكرته تبع الرائحة التي تدل على مستوى التستوستيرون وغيره ربما تهيء الشريك الآخر أو تبين لعقله اللاواعي مستوى الشهوة أو كم وكيفية الجنس الذي يحتاجه الشخص المقابل قبل ممارسة الجنس كي يتناغم الشريكان عند الممارسة أكثر ويشبع كل طرف منهما الآخر بالكيفية التي يحتاجها .. أعتقد أنه أيضاً (البوس) كغيره من علامات التقارب كما في تشابك الأيدي والضم وربما أيضاً يهيء الكائنات المجهرية في كلا الطرفيين (وهي بالملايير) لكي تتجانس مع بعضها قبل قدوم المراحل الأخرى من التقارب بين الحبيبين ,Non-Offensive
@User.IDX من اجمل واروع المسلسلات التي رأيتها ,Non-Offensive
بعيد المشهد الاخير اكثر من مره ,Non-Offensive
الإضاءة بالاستديو ابو كلب ياشنب .. مسوي لبناني؟ ,Offensive
@User.IDX لا يلمع أحد لمنسوبي داعش الارهابي الا ارهابي مثله تبا لكم ,Offensive
"ولسه بتسأل ليه البلاد حيطه مالت ،، مابقاش فيه أمل لما قولنا أمل ماتت ، قتلنا طموحنا لما قدمولنا نعشو كنا معكم من اعماق ال.أنت هارشو ",Non-Offensive
@User.IDX اكيد في شي لا يسكتو حتي يعرفو السبب ,Non-Offensive
 <url> ترا هذول مايمثلون السعودية عمر السوريين ولا غيرهم ماكانو ذليلين بالعكس ما ثارو الا انهم شريفين واصيلين مايرضون الظلم ,Non-Offensive
الحلقة هاي لازم تترجم بجد مفيدة ,Non-Offensive
"ملاحظة صغيرة فقط : الآن الناس أصبحت أكثر ثقافة ووعي ، ويعلمون أن أصل الوحدة إسلامية وليس عربية . طالباتي الهنديات والروسيات في المدرسة يقولون لي معلمتي أصل الوحدة على الارض وبين الشعوب وحدة إسلامية وليست وحدة عروبة. ملاحظة أخرى أكثر غرابة أن عمر طالباتي 12 سنة فقط وعندهم هذا الوعي !!! ",Non-Offensive
هاذي لبنان أقسى من قلوبهم مافيش بلد عديمة الإنسانية جيرانكم الزفت ومعاملة عنصرية لي هالدرجه سبحان الله بكرة لما يجيكم الدور من إسرائيل مش حتلقو جار أكرم من سوريا ,Offensive
هذا المصطلح ليس متداول من قبل الجميع هو ينحصر في فئة معينة من المستخدمين وليس بالضرورة معرفا للهجة التونسية ! كان عليكم اختيار مصطلح يستعمل من قبل جميع التونسيين دون استثناء ! وربما هناك بعض التونسيين الذين سيتعرفون عليه من خلال هذا الفيديو -_- انا شخصيا لا استعمل هذا المصطلح ولا اعتبره جزءا من قاموسي اليومي رغم اني تونسية واعرف جيدا تفاصيل لهجتي ,Non-Offensive
@User.IDX لم ينجح تحديث التطبيق تم حزفه من ذاكرتنا. #لم_تسقط_بعد ✌الاعتصام مستمر ,Non-Offensive
"ههههه...السعوديين ملتهين بالبيك والنساء والتفاخر بالاموال والايرانيين حضارة ممتدة لالاف السنين وبعمرا محد غزاها،،،هسه امفكرين بان تغزون ايران،،السنه في العراق وسوريا اتبهدلو وماعطيتوهم حتى اقامات،،،وهاي اليمن ماتستجرون تدخلوها بقواتكم.....اذا بدكن تحلمو فاحلمو بواقعية....تحياتي ",Non-Offensive
@User.IDX النابحين في سله واحده لذلك تجد هذه السلع الفاسده وهى الخنزيره بمرتزقتها مثل الأسماك الفاسده ومرميه عند الشبوك المرتزقة ورطانين والحكومة القطريه الفاشله ورطانه بماادخل قطر في نفق مجهول من عاق وجزائه من جنس عمله ,Offensive
@User.IDX ينتهي بزحف شامل نحو القدس من الخليج للمحيط يوم الغضب ,Non-Offensive
@User.IDX لا ولن ترتقي حتى ينتصر الحق ويرجع الامن لليبيا ولو تصيحون ليوم الدين فلن يسمع احد لكم ياالكلاب ,Offensive
@User.IDX ايش اسم الشركة علشان ندعمها وما نشتري الإ منها ,Non-Offensive
هالفلوق قديم صح يا رجال ,Non-Offensive
@User.IDX هذه القبيحة الذي اشترت لها قطر جائزة نوبل والان هي تتسكع في تركيا ,Offensive
@User.IDX هذا الاحتفاء خاص بالكبار فقط اما ذميمكم لاذكر له الا مزبله التاريخ ,Non-Offensive
عمر ايش نوع كاميرتك و ايش اسمها لو سمحت 😊 ,Non-Offensive
@User.IDX لما يتوقف حكام العرب من اتهام شعوبهم المسلمين بالارهابيين ,Non-Offensive
قرف شلون يحط أيده على أرضيت الحمام 💔😩 ,Non-Offensive
هبه مو اسرائيل جريئة لا حبيبي بس العراقيين عملاء ,Offensive
1:57 الله يقطع إبليسك يشيخ 😂😂😂💔💔💔💔 ,Non-Offensive
"لبنان بلد لللبنانيين، الجنسيات الاخرى يجب ان تعود الى بلدانها والا لم يعد لبنان لاهله. المساعدة التي يقدمها لبنان للاخرين يجب ان يشكر عليها. يمكن للبلدان ان تساعد وتدعم بعضها ولكن لا يجب تغيير كيانها عنوةً والا سوف تفقد فلسطين وسوريا ايضاً اهلها وكيانها. ",Non-Offensive
لا يسعني سوى التأمل ....... حقا فاق شعرك مستوى الابداع اللغوي و التناغم الفكري الادبي. روعة تناسق الكلمات في مادتك النثرية هته و مدى دلالتها تبقى راسخة في الاذهان ابد الآبدين ..... فصاحة لغوية مبهرة ...... كلمات تتخللها بساطة محيرة للعقل مربكة للروح .... نص غزلي متقن حد السيف ..... اي نعم سيدي .... والله إنك لمتمكن من لغة الضاد ...... و عارف بخبايا العشق .. ولك في وصف الاحوال و الاهوال الف قيراط ..... و لتعجز الكلمات عن وصف ما جدت به و ما جاز ...... و ليتخدر اللسان عن نطق كلمة شكر في حقك ...... لك مني الف تحية عابرة للبحار ....... و الف شكر و لك كل الوقار .... ;) (Y). مجرد رأي .... شكرا. ,Non-Offensive
ههههههههههههههههههههههههههههه يي كلهم زنوات وعيال حرام ولازم نحمي الاسلام ونكون يد واحدة فلا الاول طيب ولا الي بعدة كلهم من طينه واحدة طينه الحقد والكرة للاسلام فلازم نكون يد واحدة جميع المسلمين بكل انحاء ادول العربية بعدين ما يدخل البيت الابيض الا كلب ومجرم هذة عوايدهم من زمان ,Offensive
@User.IDX مره تقولون تذويب الجثه. ومره تقولون تم تقطيعها. والان حرقها. الحلقه القادمة ماذا سيكون السيناريو ! ,Non-Offensive
اتفشخت ضحك لما جبت صورة عمرو واكد وقولت بيبوس الاجانب هههه فعلا عمرو واكد باس سكارليت جوهانسون في فيلم لوسي ,Non-Offensive
لو ما تحتاج المال عطني ياه ,Non-Offensive
انهيار اقتصاد فنزويلا دليل على أن الثروات الطبيعية وحدها لا تصنع اقتصاد قوي متين ومتماسك بل يجب أن تكون إدارة الموارد على أعلى مستوى.بالنظر إلى فنزويلا النفطية تعتبر دول الخليج وعلى رأسها السعودية لديها إدارة جيدة للموارد الطبيعية ولكن بحاجة للتطوير أكثر وهذا ماتسير عليه السعودية الآن في رؤيتها 2030.السعودية في فترات سابقة كانت تعتمد للحفاظ على عدم تأثر اقتصادها بالاحتفاظ بالعملات الصعبة وحمل السندات الأمريكية وطبعاً أول دولة هي الصين والثانية اليابان صحيح فوائدها قليلة لكنه استثمار آمن. رؤية السعودية تنطق بمبدأ رفع المحتوى المحلي كخطوة أولية لجلب صناعات متطورة في كافة المجالات ومن أهمها التقنية والذكاء الاصطناعي. ,Non-Offensive
طيب نبغا محتواك انت اكثر ونبغا تسوي دورات تدريبة في المجالات الي تهمك ,Non-Offensive
"@User.IDX لعبه الببجي أصبحت ظاهرة اجتماعية ، ولابد من الوقوف أمام هذه الظاهرة . ",Non-Offensive
